activitysiteid,activitydescription,bookingenddatetime_(month_/_day_/_year)_apr_may,bookingstarttime_apr_may,maxbookees_apr_may,number_booked_apr_may,price_(inr)_apr_may,bookingenddatetime_(month_/_day_/_year)_june,bookingstarttime_june,maxbookees_june,number_booked_june,price_(inr)_june
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35.0,32.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35.0,32.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35.0,32.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35.0,32.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35.0,26.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35.0,26.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35.0,26.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35.0,26.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35.0,24.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35.0,24.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35.0,24.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35.0,24.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35.0,23.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35.0,23.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35.0,23.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35.0,23.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35.0,22.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35.0,22.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35.0,22.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35.0,22.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35.0,30.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
